"(Server Name, Domain)",Servers known in domain
"('dns2.nic.uk.', 'org.uk')","{'nsb.nic.uk.', 'nsa.nic.uk.', 'dns4.nic.uk.', 'dns2.nic.uk.', 'nsc.nic.uk.', 'dns3.nic.uk.', 'nsd.nic.uk.', 'dns1.nic.uk.'}"
"('nsc.nic.uk.', 'org.uk')","{'nsb.nic.uk.', 'nsa.nic.uk.', 'dns4.nic.uk.', 'dns2.nic.uk.', 'nsc.nic.uk.', 'dns3.nic.uk.', 'nsd.nic.uk.', 'dns1.nic.uk.'}"
"('dns3.nic.uk.', 'org.uk')","{'nsb.nic.uk.', 'nsa.nic.uk.', 'dns4.nic.uk.', 'dns2.nic.uk.', 'nsc.nic.uk.', 'dns3.nic.uk.', 'nsd.nic.uk.', 'dns1.nic.uk.'}"
"('nsd.nic.uk.', 'org.uk')","{'nsb.nic.uk.', 'nsa.nic.uk.', 'dns4.nic.uk.', 'dns2.nic.uk.', 'nsc.nic.uk.', 'dns3.nic.uk.', 'nsd.nic.uk.', 'dns1.nic.uk.'}"
"('dns1.nic.uk.', 'org.uk')","{'nsb.nic.uk.', 'nsa.nic.uk.', 'dns4.nic.uk.', 'dns2.nic.uk.', 'nsc.nic.uk.', 'dns3.nic.uk.', 'nsd.nic.uk.', 'dns1.nic.uk.'}"
"('d.root-servers.net', 'com')","{'e.gtld-servers.net.', 'b.gtld-servers.net.', 'a.gtld-servers.net.', 'j.gtld-servers.net.', 'f.gtld-servers.net.', 'i.gtld-servers.net.', 'm.gtld-servers.net.', 'h.gtld-servers.net.', 'l.gtld-servers.net.', 'c.gtld-servers.net.', 'd.gtld-servers.net.', 'k.gtld-servers.net.', 'g.gtld-servers.net.'}"
"('k.root-servers.net', 'com')","{'e.gtld-servers.net.', 'b.gtld-servers.net.', 'a.gtld-servers.net.', 'j.gtld-servers.net.', 'f.gtld-servers.net.', 'i.gtld-servers.net.', 'm.gtld-servers.net.', 'h.gtld-servers.net.', 'l.gtld-servers.net.', 'c.gtld-servers.net.', 'd.gtld-servers.net.', 'k.gtld-servers.net.', 'g.gtld-servers.net.'}"
"('i.root-servers.net', 'com')","{'e.gtld-servers.net.', 'b.gtld-servers.net.', 'a.gtld-servers.net.', 'j.gtld-servers.net.', 'f.gtld-servers.net.', 'i.gtld-servers.net.', 'm.gtld-servers.net.', 'h.gtld-servers.net.', 'l.gtld-servers.net.', 'c.gtld-servers.net.', 'd.gtld-servers.net.', 'k.gtld-servers.net.', 'g.gtld-servers.net.'}"
"('a.root-servers.net', 'com')","{'e.gtld-servers.net.', 'b.gtld-servers.net.', 'a.gtld-servers.net.', 'j.gtld-servers.net.', 'f.gtld-servers.net.', 'i.gtld-servers.net.', 'm.gtld-servers.net.', 'h.gtld-servers.net.', 'l.gtld-servers.net.', 'c.gtld-servers.net.', 'k.gtld-servers.net.', 'd.gtld-servers.net.', 'g.gtld-servers.net.'}"
"('h.root-servers.net', 'com')","{'e.gtld-servers.net.', 'b.gtld-servers.net.', 'a.gtld-servers.net.', 'j.gtld-servers.net.', 'f.gtld-servers.net.', 'i.gtld-servers.net.', 'm.gtld-servers.net.', 'h.gtld-servers.net.', 'l.gtld-servers.net.', 'c.gtld-servers.net.', 'd.gtld-servers.net.', 'k.gtld-servers.net.', 'g.gtld-servers.net.'}"
"('f.root-servers.net', 'com')","{'e.gtld-servers.net.', 'b.gtld-servers.net.', 'a.gtld-servers.net.', 'j.gtld-servers.net.', 'f.gtld-servers.net.', 'i.gtld-servers.net.', 'm.gtld-servers.net.', 'h.gtld-servers.net.', 'l.gtld-servers.net.', 'c.gtld-servers.net.', 'd.gtld-servers.net.', 'k.gtld-servers.net.', 'g.gtld-servers.net.'}"
"('l.root-servers.net', 'com')","{'e.gtld-servers.net.', 'b.gtld-servers.net.', 'a.gtld-servers.net.', 'j.gtld-servers.net.', 'f.gtld-servers.net.', 'i.gtld-servers.net.', 'm.gtld-servers.net.', 'h.gtld-servers.net.', 'l.gtld-servers.net.', 'c.gtld-servers.net.', 'd.gtld-servers.net.', 'k.gtld-servers.net.', 'g.gtld-servers.net.'}"
"('b.root-servers.net', 'com')","{'e.gtld-servers.net.', 'b.gtld-servers.net.', 'a.gtld-servers.net.', 'j.gtld-servers.net.', 'f.gtld-servers.net.', 'i.gtld-servers.net.', 'm.gtld-servers.net.', 'h.gtld-servers.net.', 'l.gtld-servers.net.', 'c.gtld-servers.net.', 'd.gtld-servers.net.', 'k.gtld-servers.net.', 'g.gtld-servers.net.'}"
"('j.root-servers.net', 'com')","{'e.gtld-servers.net.', 'b.gtld-servers.net.', 'a.gtld-servers.net.', 'j.gtld-servers.net.', 'f.gtld-servers.net.', 'i.gtld-servers.net.', 'm.gtld-servers.net.', 'h.gtld-servers.net.', 'l.gtld-servers.net.', 'c.gtld-servers.net.', 'd.gtld-servers.net.', 'k.gtld-servers.net.', 'g.gtld-servers.net.'}"
"('g.root-servers.net', 'com')","{'e.gtld-servers.net.', 'b.gtld-servers.net.', 'a.gtld-servers.net.', 'j.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'i.gtld-servers.net.', 'h.gtld-servers.net.', 'l.gtld-servers.net.', 'c.gtld-servers.net.', 'k.gtld-servers.net.', 'd.gtld-servers.net.', 'g.gtld-servers.net.'}"
"('e.root-servers.net', 'com')","{'e.gtld-servers.net.', 'b.gtld-servers.net.', 'a.gtld-servers.net.', 'j.gtld-servers.net.', 'f.gtld-servers.net.', 'i.gtld-servers.net.', 'm.gtld-servers.net.', 'h.gtld-servers.net.', 'l.gtld-servers.net.', 'c.gtld-servers.net.', 'd.gtld-servers.net.', 'k.gtld-servers.net.', 'g.gtld-servers.net.'}"
"('c.root-servers.net', 'com')","{'e.gtld-servers.net.', 'b.gtld-servers.net.', 'a.gtld-servers.net.', 'j.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'i.gtld-servers.net.', 'h.gtld-servers.net.', 'l.gtld-servers.net.', 'c.gtld-servers.net.', 'k.gtld-servers.net.', 'd.gtld-servers.net.', 'g.gtld-servers.net.'}"
