Server Name,Server Information
c.dns.ar.,"DNS information
Domain: ar
Host: c.dns.ar.
IPv4 Addresses: 200.108.148.50 
IPv6 Addresses :2801:140:10::10 
Description: Name server for domain ""ar"""
e.dns.ar.,"DNS information
Domain: ar
Host: e.dns.ar.
IPv4 Addresses: 170.238.66.50 
IPv6 Addresses :2801:140:eeee::50 
Description: Name server for domain ""ar"""
ar.cctld.authdns.ripe.net.,"DNS information
Domain: ar
Host: ar.cctld.authdns.ripe.net.
IPv4 Addresses: 193.0.9.59 
IPv6 Addresses :2001:67c:e0::59 
Description: Name server for domain ""ar"""
ns2.switch.ch.,"DNS information
Domain: ar
Host: ns2.switch.ch.
IPv4 Addresses: 130.59.31.29 
IPv6 Addresses :2001:620:0:ff::2f 
Description: Name server for domain ""ar"""
d.dns.ar.,"DNS information
Domain: ar
Host: d.dns.ar.
IPv4 Addresses: 192.140.126.50 
IPv6 Addresses :2801:140:dddd::50 
Description: Name server for domain ""ar"""
ns2.ja.net.,"DNS information
Domain: ac.uk
Host: ns2.ja.net.
IPv4 Addresses: 193.63.105.17 
IPv6 Addresses :2001:630:0:45::11 
Description: Name server for domain ""ac.uk"""
auth03.ns.uu.net.,"DNS information
Domain: ac.uk
Host: auth03.ns.uu.net.
IPv4 Addresses: 198.6.1.83 
IPv6 Addresses : No information
Description: Name server for domain ""ac.uk"""
ns4.ja.net.,"DNS information
Domain: ac.uk
Host: ns4.ja.net.
IPv4 Addresses: 193.62.157.66 
IPv6 Addresses :2001:630:0:47::42 
Description: Name server for domain ""ac.uk"""
ns3.ja.net.,"DNS information
Domain: ac.uk
Host: ns3.ja.net.
IPv4 Addresses: 193.63.106.103 
IPv6 Addresses :2001:630:0:46::67 
Description: Name server for domain ""ac.uk"""
ns0.ja.net.,"DNS information
Domain: ac.uk
Host: ns0.ja.net.
IPv4 Addresses: 193.63.94.20 128.86.1.20 
IPv6 Addresses :2001:630:0:8::14 2001:630:0:9::14 
Description: Name server for domain ""ac.uk"""
ns1.surfnet.nl.,"DNS information
Domain: ac.uk
Host: ns1.surfnet.nl.
IPv4 Addresses: 192.87.106.101 
IPv6 Addresses :2001:610:1:800a:192:87:106:101 
Description: Name server for domain ""ac.uk"""
dns-3.dfn.de.,"DNS information
Domain: ac.uk
Host: dns-3.dfn.de.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""ac.uk"""
a-dns.pl.,"DNS information
Domain: pl
Host: a-dns.pl.
IPv4 Addresses: 194.181.87.156 
IPv6 Addresses :2001:a10:121:1::156 
Description: Name server for domain ""pl"""
